000100xxxxxxxxxxxxxxx01101000110 vcmpgtsh VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01101001000 vmulesh VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01101001010 vcfsx VREG,VREG,NUM
000100xxxxxxxxxx0000001101001100 vspltish VREG,NUM
000100xxxxx0xxxxxxxxx01101001101 vinserth VREG,VREG,NUM
000100xxxxx00000xxxxx01101001110 vupkhpx VREG,VREG
000100xxxxxxxxxxxxxxx01101010000 mullhw GPR,GPR,GPR
000100xxxxxxxxxxxxxxx01101010001 mullhw. GPR,GPR,GPR
000100xxxxxxxxxxxxxxx01110000000 vaddsws VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01110000010 vminsw VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01110000100 vsraw VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01110000110 vcmpgtsw VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01110001000 vmulesw VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01110001010 vctuxs VREG,VREG,NUM
000100xxxxxxxxxx0000001110001100 vspltisw VREG,NUM
000100xxxxx0xxxxxxxxx01110001101 vinsertw VREG,VREG,NUM
000100xxxxxxxxxxxxxxx01111000010 vminsd VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01111000100 vsrad VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01111000110 vcmpbfp VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01111000111 vcmpgtsd VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01111001010 vctsxs VREG,VREG,NUM
000100xxxxx0xxxxxxxxx01111001101 vinsertd VREG,VREG,NUM
000100xxxxx00000xxxxx01111001110 vupklpx VREG,VREG
000100xxxxxxxxxxxxxxx10000000000 vsububm VREG,VREG,VREG
000100xxxxxxxxxxxxxxx1x000000001 bcdadd. VREG,VREG,VREG,NUM
000100xxxxxxxxxxxxxxx10000000010 vavgub VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10000000011 vabsdub VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10000000100 vand VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10000000110 vcmpequb. VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10000000111 vcmpneb. VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10000001000 vpmsumb VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10000001001 evmhesmi GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10000001010 vmaxfp VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10000001011 evmhesmf GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10000001100 vslo VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10000101100 evmhoumia GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10001000000 vsubuhm VREG,VREG,VREG
000100xxxxxxxxxxxxxxx1x001000001 bcdsub. VREG,VREG,VREG,NUM
000100xxxxxxxxxxxxxxx10001000010 vavguh VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10001000011 vabsduh VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10001000100 vandc VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10001000110 vcmpequh. VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10001000111 vcmpneh. VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10001001000 vpmsumh VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10001001010 vminfp VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10001001011 evmwlsmf GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10001001100 vsro VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10001001110 vpkudum VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10001010011 evmwssf GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10001101100 evmwhumia GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10010000000 vsubuwm VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10010000001 bcdus. VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10010000010 vavguw VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10010000011 vabsduw VREG,VREG,VREG
